seconds_from_start,x,y,z,finished
0.0,400.0,10.0,368.0,0
0.062,400.0,10.00150203704834,368.0,0
0.125,400.0,10.00150203704834,368.0,0
0.187,400.0,10.00150203704834,368.0,0
0.25,400.0,10.00150203704834,368.0,0
0.312,400.0,10.00150203704834,368.0,0
0.375,400.0,10.00150203704834,368.0,0
0.437,400.0,10.00150203704834,368.0,0
0.687,400.0,10.00150203704834,368.0,0
0.75,400.0,10.00150203704834,368.0,0
0.812,400.0,10.00150203704834,368.0,0
0.875,400.0,10.00150203704834,368.0,0
0.937,400.0,10.00150203704834,368.0,0
1.0,400.0,10.00150203704834,368.0,0
1.062,400.0,10.00150203704834,368.0,0
1.125,400.0,10.00150203704834,368.0,0
1.187,400.0,10.00150203704834,368.0,0
1.25,400.0,10.00150203704834,368.0,0
1.312,400.0,10.00150203704834,368.0,0
1.375,400.0,10.00150203704834,368.0,0
1.437,400.0,10.00150203704834,368.0,0
1.5,400.0,10.00150203704834,368.0,0
1.562,400.0,10.00150203704834,368.0,0
1.625,400.0,10.00150203704834,368.0,0
1.687,400.0,10.00150203704834,368.0,0
1.75,400.0,10.00150203704834,368.0,0
1.812,400.0,10.00150203704834,368.0,0
1.875,400.0,10.00150203704834,368.0,0
1.937,400.0,10.00150203704834,368.0,0
2.0,400.0,10.00150203704834,368.0,0
2.062,400.0,10.00150203704834,368.0,0
2.156,400.0,10.00150203704834,368.0,0
2.953,400.0,10.00150203704834,368.0,0
3.015,400.0,10.00150203704834,368.0,0
3.078,400.0,10.00150203704834,368.0,0
3.14,400.0,10.00150203704834,368.0,0
3.203,400.0,10.00150203704834,368.0,0
3.265,400.0,10.00150203704834,368.0,0
3.328,400.0,10.00150203704834,368.0,0
3.39,400.0,10.00150203704834,368.0,0
3.453,400.0,10.00150203704834,368.0,0
3.515,400.0,10.00150203704834,368.0,0
3.578,400.0,10.00150203704834,368.0,0
3.64,400.0,10.00150203704834,368.0,0
3.703,400.0,10.00150203704834,368.0,0
3.765,400.0,10.00150203704834,368.0,0
3.828,400.0,10.00150203704834,368.0,0
3.89,400.0,10.00150203704834,368.0,0
3.953,400.0,10.00150203704834,368.0,0
4.015,400.0,10.00150203704834,368.0,0
4.078,400.0,10.00150203704834,368.0,0
4.14,400.0,10.00150203704834,368.0,0
4.203,400.0,10.00150203704834,368.0,0
4.265,400.0,10.00150203704834,368.0,0
4.328,400.0,10.00150203704834,368.0,0
4.39,400.0,10.00150203704834,368.0,0
4.453,400.0,10.00150203704834,368.0,0
4.515,400.0,10.00150203704834,368.0,0
4.578,400.0,10.00150203704834,368.0,0
4.64,400.0,10.00150203704834,368.0,0
4.703,400.0,10.00150203704834,368.0,0
4.765,400.0,10.00150203704834,368.0,0
4.828,400.0,10.00150203704834,368.0,0
4.89,400.0,10.00150203704834,368.0,0
4.953,400.0,10.00150203704834,368.0,0
